Date,Return
2014-08-18,-0.8008729224906719
2014-08-15,-1.4909911280304942
2014-08-14,0.2040089702735075
2014-08-13,0.022621494111705633
2014-08-12,-2.096447505923604
2014-08-11,0.9151752267003176
2014-08-08,0.15672501266902827
2014-08-07,-0.9511780864465537
2014-08-06,0.5350132226136203
2014-08-05,-0.2302446861905791
2014-08-04,1.4299194299722173
2014-08-01,-1.2352880830157975
2014-07-31,0.9769170340578842
2014-07-30,2.767667295672448
2014-07-29,-0.3081285680761571
2014-07-28,0.8521100329473383
2014-07-25,-0.2675260387441137
2014-07-24,0.7351143070838646
2014-07-23,0.4432465089552041
2014-07-22,-0.20805520514734613
2014-07-21,-0.8861088811692466
2014-07-18,0.9517067581651729
2014-07-17,-3.587756314124124
2014-07-16,1.5564863016084718
2014-07-15,0.3638487909387967
2014-07-14,0.015384861130090204
2014-07-11,-0.972858317747872
2014-07-10,-1.3950835836940432
2014-07-09,0.8720022151257532
2014-07-08,-0.8661957654370359
2014-07-07,1.9541598427366802
2014-07-03,0.4259331416111772
2014-07-02,-0.4095882067513588
2014-07-01,0.057520580070334726
2014-06-30,-1.2682967580093576
2014-06-27,0.34070663349761887
2014-06-26,-0.21482023871028352
2014-06-25,0.46007240404843064
2014-06-24,-2.424607501177051
2014-06-23,0.05844736224963094
2014-06-20,-1.5204969973240956
2014-06-19,-0.2624183011963233
2014-06-18,-0.27572663914586487
2014-06-17,-1.872159595157023
2014-06-16,0.23388468623826594
2014-06-13,1.374283972921071
2014-06-12,-0.07430715544763544
2014-06-11,1.3584817926889932
2014-06-10,0.30599176030096564
2014-06-09,0.28008812184235493
2014-06-06,-1.030033215959652
2014-06-05,-0.4367898670123072
2014-06-04,-1.66817499770841
2014-06-03,0.05140872244769167
2014-06-02,1.6497243268481714
2014-05-30,1.0759562093061366
2014-05-29,0.0339306170346879
2014-05-28,0.28567753908925625
2014-05-27,0.7602178300838386
2014-05-23,-2.341200232192603
2014-05-22,-1.3823047861343851
2014-05-21,-1.1228060012109584
2014-05-20,-1.7014890448463649
2014-05-19,-0.17177696857747954
2014-05-16,-1.5561758862146162
2014-05-15,-0.12485547335222989
2014-05-14,1.2827528344982895
2014-05-13,1.222822653663265
2014-05-12,-0.5946454648352191
2014-05-09,-2.1116396343799058
2014-05-08,-1.4901830640510978
2014-05-07,-0.20352001811781242
2014-05-06,1.0157630841906928
2014-05-05,2.4595264768865004
2014-05-02,0.022738950774758727
2014-05-01,0.6478147446037391
2014-04-30,-0.8826621825869772
2014-04-29,0.1974741359354528
2014-04-28,-1.9992425276208121
2014-04-25,-0.18756696805476808
2014-04-24,1.7396974083298358
2014-04-23,0.3389481283143696
2014-04-22,1.4935283504264354
2014-04-21,-1.1574172009933976
2014-04-17,1.4149959975022812
2014-04-16,3.81272122639258
2014-04-15,-3.6115923511967645
2014-04-14,-0.73074978384821
2014-04-11,-0.36054821897516737
2014-04-10,1.9506208709289108
2014-04-09,4.286906312888322
2014-04-08,-1.6378948698954412
2014-04-07,-3.018555358991495
2014-04-04,0.9272472780464275
2014-04-03,4.897446426854562
2014-04-02,-0.48091842517416816
2014-04-01,0.028215744925349947
2014-03-31,-1.796672727468732
2014-03-28,0.5422282040375793
2014-03-27,-0.2732204132031737
2014-03-26,1.24591845729688
2014-03-25,2.363140190066582
2014-03-24,-0.06818384999489852
2014-03-21,2.168525115104359
2014-03-20,1.1935343015371351
2014-03-19,0.17458656384314228
2014-03-18,1.0014540012046869
2014-03-17,-1.5818179871458424
2014-03-14,-1.618989603765323
2014-03-13,1.3864202777114738
2014-03-12,1.5339836981823365
2014-03-11,-0.6054843274750558
2014-03-10,0.9650069463688578
2014-03-07,0.2657734517790174
2014-03-06,0.3967764774842837
2014-03-05,-0.11069213615296518
2014-03-04,-0.27498506131682576
2014-03-03,-1.0058316550538553
2014-02-28,1.0775858208817926
2014-02-27,0.29285126088727553
2014-02-26,0.07872993439880015
2014-02-25,-0.013928017616674454
2014-02-24,-0.6139348941820821
2014-02-21,-0.7191644070365842
2014-02-20,0.026575983998719504
2014-02-19,-0.14698932461171718
2014-02-18,0.7102771578241834
2014-02-14,-0.6672814843603396
2014-02-13,-0.24110326426566345
2014-02-12,-1.1009330673537063
2014-02-11,0.2941024864994615
2014-02-10,-1.449367738620433
2014-02-07,0.3845076866794701
2014-02-06,-1.4845724082315137
2014-02-05,-1.4448750452257728
2014-02-04,-0.44087301324479333
2014-02-03,-0.41557806179599294
2014-01-31,4.194343733374118
2014-01-30,-3.8595389803067475
2014-01-29,-2.5075050319430736
2014-01-28,1.453582024908415
2014-01-27,-1.939436239223595
2014-01-24,2.052252656754205
2014-01-23,3.227364008905665
2014-01-22,0.42410002992623164
2014-01-21,-0.1133021216837674
2014-01-17,-1.1317375511029466
2014-01-16,0.49455020546606426
2014-01-15,-0.6573068784194309
2014-01-14,0.06790860922790147
2014-01-13,-2.2985964116650015
2014-01-10,0.6411494898295954
2014-01-09,0.005312417385399415
2014-01-08,0.9723611041203636
2014-01-07,-0.2076757171132107
2014-01-06,-1.8913569871598428
2014-01-03,-1.102643291667078
2014-01-02,0.7348456120671386
2013-12-31,0.6818662046065466
2013-12-30,-1.0038296402671858
2013-12-27,0.8057975622659747
2013-12-26,-0.08405163357431458
2013-12-24,-0.5029251005553768
2013-12-23,0.29320560024762427
2013-12-20,-1.2985360097691259
2013-12-19,-1.3083502865431331
2013-12-18,-0.13533999161544308
2013-12-17,-1.372662303692573
2013-12-16,0.29163157942443346
2013-12-13,-1.1360929873616088
2013-12-12,0.8644486854241455
